Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p,Empirical_p,Trait,net_pairs,direction,product,n_LSDV,n_SPPV,n_GTPV
OG0000153,,,2,148,32,108,5.88235294117647,42.1875,0.0456081081081081,2.8917265562750327e-09,2.747140228461281e-07,2.4974002076920736e-08,1,1,1,1.0,1.0,0.0129870129870129,Host_Sheep,0,کاهش,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],148,2,0
OG0000154,,,0,114,34,142,0.0,55.46875,0.0,1.6640346022479262e-08,1.5808328721355295e-06,1.3173607267796078e-07,1,0,1,1.0,1.0,0.0009990009990009,Host_Sheep,-1,کاهش,kelch-like protein [Lumpy skin disease virus NI-2490],114,0,0
OG0000167,,,7,4,27,252,20.588235294117645,98.4375,16.333333333333332,3.9334379044245264e-05,0.0037367660092033,0.0002669118578002,1,1,1,1.0,1.0,0.0009990009990009,Host_Sheep,0,غنی‌شدگی,IMV membrane receptor-like protein [Lumpy skin disease virus NI-2490],4,7,0
OG0000149,,,177,25,12,76,93.65079365079364,75.24752475247524,44.84,9.85179853815619e-35,9.359208611248382e-33,4.679604305624191e-33,1,1,1,1.0,1.0,0.0029970029970029,No_recombination,0,غنی‌شدگی,kelch-like protein [Lumpy skin disease virus NI-2490],152,34,16
OG0000153,,,138,12,51,89,73.01587301587301,88.11881188118812,20.068627450980397,1.4700535433576714e-24,1.3965508661897881e-22,4.6551695539659604e-23,1,1,1,1.0,1.0,0.0049950049950049,No_recombination,0,غنی‌شدگی,LSDV134 variola virus B22R-like protein [Lumpy skin disease virus NI-2490],148,2,0
OG0000154,,,39,75,150,26,20.634920634920636,25.742574257425744,0.0901333333333333,4.503192529044573e-19,4.2780329025923427e-17,1.0695082256480858e-17,1,1,1,1.0,1.0,0.0009990009990009,No_recombination,0,کاهش,kelch-like protein [Lumpy skin disease virus NI-2490],114,0,0
OG0000150,,,93,93,96,8,49.2063492063492,7.920792079207921,0.0833333333333333,1.645662891000234e-14,1.5633797464502225e-12,3.126759492900445e-13,1,1,1,1.0,1.0,0.0009990009990009,No_recombination,0,کاهش,LSDV153 hypothetical protein [Lumpy skin disease virus NI-2490],186,0,0
OG0000157,,,0,26,189,75,0.0,74.25742574257426,0.0,1.145519250586315e-13,1.0882432880569992e-11,1.813738813428332e-12,1,0,1,1.0,1.0,0.0009990009990009,No_recombination,-1,کاهش,kelch-like protein [Lumpy skin disease virus NI-2490],26,0,0
OG0000155,,,12,36,177,65,6.349206349206349,64.35643564356435,0.1224105461393597,6.21175464156147e-10,5.901166909483398e-08,8.430238442119138e-09,1,1,1,1.0,1.0,0.0009990009990009,No_recombination,0,کاهش,hypothetical protein,48,0,0
OG0000002,,,141,96,48,5,74.60317460317461,4.950495049504951,0.1529947916666666,5.566414185536009e-06,0.0005288093476259,4.8073577056901895e-05,1,1,1,1.0,1.0,0.0009990009990009,No_recombination,0,کاهش,Hypothetical protein LSDVgp155 [Lumpy skin disease virus NI-2490],227,10,0
OG0000003,,,165,101,24,0,87.3015873015873,0.0,0.0,2.4552743487655035e-05,0.0023325106313272,0.0001943758859439,1,0,1,1.0,1.0,0.0289710289710289,No_recombination,-1,کاهش,LSDV026 hypothetical protein [Lumpy skin disease virus NI-2490],240,10,16
OG0000149,,,0,202,10,78,0.0,27.857142857142858,0.0,4.554611177623335e-06,0.0004326880618742,0.0004326880618742,3,0,3,0.25,0.25,0.0029970029970029,Recombinant,-3,کاهش,kelch-like protein [Lumpy skin disease virus NI-2490],152,34,16
OG0000004,,,3,191,17,79,15.0,29.259259259259256,0.0729904527255928,1.0752014312503337e-06,0.0001021441359687,0.0001021441359687,7,3,4,0.9999999999999998,0.9999999999999998,0.0199800199800199,Vaccine,-1,کاهش,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],194,0,0
OG0000152,,,14,77,6,193,70.0,71.48148148148148,5.848484848484849,0.0002707481325965,0.0257210725966684,0.0128605362983342,5,4,2,0.375,1.0,0.0179820179820179,Vaccine,2,غنی‌شدگی,LSDV154 putative ER-localized apoptosis regulator [Lumpy skin disease virus NI-2490],42,33,16
